p_name,AOI,dwell_duration,conformity_score,revisiting_score,seq_bar_length,re_reading_bar_length,trial,dwell_duration_log,bar_position,dwell_lt_100ms
P1,R2_OBJ_1,2310,2,2,1.2,0.6,79,4,289,NA
P1,R1_SUBJ,22623,3,2,1.3,0.6,80,5,293.5,NA
P1,R2_OBJ_1,7781,5,1,1.5,0.3,81,5,298.5,NA
P1,R2_OBJ_2,6441,5,0,1.5,0,82,5,303.5,NA
P1,R3_DIFF,9572,3,0,1.3,0,83,5,308.5,NA
P1,R5_AWAREEFFECT,530,0,0,1,0,84,4,313,NA
P1,G2_OBJ,1831,0,1,1,0.3,85,4,317,NA
P1,G1_SUBJ,2550,1,2,1.1,0.6,86,4,321,NA
P1,G2_OBJ,30,1,2,1.1,0.6,87,2,324,0
P1,G1_SUBJ,0,0,1,1,0.3,88,1,325.5,0
P1,M2_TIME_2,320,1,1,1.1,0.3,89,4,328,NA
P1,MISC_P4,220,1,2,1.1,0.6,90,3,331.5,0
P1,M2_TIME_2,2041,2,2,1.2,0.6,91,4,335,NA
P1,MISC_P4,1030,3,2,1.3,0.6,92,4,339,NA
P1,DV_TIME,310,2,2,1.2,0.6,93,3,342.5,0
P1,MISC_P4,720,1,2,1.1,0.6,94,4,346,NA
P1,DV_TIME,310,1,1,1.1,0.3,95,3,349.5,0
P1,M2_TIME_2,160,2,0,1.2,0,96,3,352.5,0
P1,MISC_P4,850,3,0,1.3,0,97,4,356,NA
P1,DV_TIME,4440,2,1,1.2,0.3,98,5,360.5,NA
P1,R3_DIFF,140,0,2,1,0.6,99,3,364.5,0
P1,DV_TIME,5011,0,3,1,0.8999999999999999,100,5,368.5,NA
P1,R3_DIFF,1020,0,2,1,0.6,101,4,373,NA
P1,DV_TIME,960,1,2,1.1,0.6,102,4,377,NA
P1,R1_SUBJ,170,1,2,1.1,0.6,103,3,380.5,0
P1,DV_TIME,330,1,3,1.1,0.8999999999999999,104,4,384,NA
P1,R1_SUBJ,60,1,2,1.1,0.6,105,3,387.5,0
P1,DV_TIME,280,0,2,1,0.6,106,3,390.5,0
P1,MISC_P4,70,2,1,1.2,0.3,107,3,393.5,0
P1,DV_TIME,280,3,2,1.3,0.6,108,3,396.5,0
P1,R1_SUBJ,680,2,2,1.2,0.6,109,4,400,NA
P1,DV_TIME,100,1,2,1.1,0.6,110,3,403.5,0
P1,R1_SUBJ,8562,1,2,1.1,0.6,111,5,407.5,NA
P1,R4_AWAREPRIME,350,0,2,1,0.6,112,4,412,NA
P1,R1_SUBJ,3271,0,3,1,0.8999999999999999,113,5,416.5,NA
P1,R4_AWAREPRIME,150,0,3,1,0.8999999999999999,114,3,420.5,0
P1,R1_SUBJ,350,0,3,1,0.8999999999999999,115,4,424,NA
P1,R4_AWAREPRIME,410,0,3,1,0.8999999999999999,116,4,428,NA
P1,R1_SUBJ,540,0,3,1,0.8999999999999999,117,4,432,NA
P1,R4_AWAREPRIME,250,0,2,1,0.6,118,3,435.5,0
P1,R1_SUBJ,150,1,2,1.1,0.6,119,3,438.5,0
P1,R2_OBJ_1,2540,1,2,1.1,0.6,120,4,442,NA
P1,R1_SUBJ,60,1,3,1.1,0.8999999999999999,121,3,445.5,0
P1,R2_OBJ_1,371,1,3,1.1,0.8999999999999999,122,4,449,NA
P1,R1_SUBJ,160,1,2,1.1,0.6,123,3,452.5,0
P1,R2_OBJ_1,2170,1,1,1.1,0.3,124,4,456,NA
P1,G1_SUBJ,190,0,0,1,0,125,3,459.5,0
P1,R2_OBJ_2,4530,0,1,1,0.3,126,5,463.5,NA
P1,R2_OBJ_1,100,2,1,1.2,0.3,127,3,467.5,0
P1,R2_OBJ_2,7822,3,2,1.3,0.6,128,5,471.5,NA
P1,R3_DIFF,80,2,2,1.2,0.6,129,3,475.5,0
P1,R2_OBJ_2,3190,1,2,1.1,0.6,130,5,479.5,NA
P1,R3_DIFF,3721,1,2,1.1,0.6,131,5,484.5,NA
P1,DV_TIME,170,0,1,1,0.3,132,3,488.5,0
P1,R3_DIFF,8501,2,1,1.2,0.3,133,5,492.5,NA
P1,R4_AWAREPRIME,2270,3,1,1.3,0.3,134,4,497,NA
P1,R5_AWAREEFFECT,380,2,1,1.2,0.3,135,4,501,NA
P1,R4_AWAREPRIME,671,0,2,1,0.6,136,4,505,NA
P1,R1_SUBJ,70,0,1,1,0.3,137,3,508.5,0
P1,R4_AWAREPRIME,2780,1,2,1.1,0.6,138,4,512,NA
P1,R5_AWAREEFFECT,80,1,2,1.1,0.6,139,3,515.5,0
P1,R4_AWAREPRIME,390,2,2,1.2,0.6,140,4,519,NA
P1,R5_AWAREEFFECT,7111,3,1,1.3,0.3,141,5,523.5,NA
P1,G1_SUBJ,1401,2,1,1.2,0.3,142,4,528,NA
P1,R2_OBJ_1,370,0,1,1,0.3,143,4,532,NA
P1,G1_SUBJ,19873,0,1,1,0.3,144,5,536.5,NA
P1,G3_DIFF,320,0,0,1,0,145,4,541,NA
P1,G2_OBJ,2631,1,1,1.1,0.3,146,4,545,NA
